"","Pixel_Number","Log_Frequency","Log_Brightness_Temperature","Fit","Concave/Convex"
"105","105","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54817443  2.48513231  4.48893083 -3.23017204  1.40418824  3.7740418 ]","[-2.50627528  7.96788196]","Convex"
"106","106","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55578813  2.54988666  4.54472254 -3.20371526  1.45591755  3.8307403 ]","[-2.52058975  8.048216  ]","Convex"
"107","107","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54837597  2.49948113  4.50392462 -3.21976517  1.41877158  3.78938169]","[-2.50913851  7.9868272 ]","Convex"
"108","108","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54332587  2.45707453  4.47602254 -3.22826671  1.38763201  3.76198731]","[-2.50026427  7.94047081]","Convex"
"109","109","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53817561  2.42189339  4.44102969 -3.24663433  1.3606771   3.72631712]","[-2.49211829  7.89365063]","Convex"
"110","110","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54548803  2.45709936  4.50429892 -3.22081292  1.40327067  3.78995291]","[-2.50744158  7.97235556]","Convex"
"111","111","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54068216  2.42798175  4.46472924 -3.24240513  1.37144639  3.74999232]","[-2.49910211  7.92328319]","Convex"
"112","112","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53009162  2.38542293  4.39649916 -3.25691659  1.32064741  3.68131868]","[-2.47861184  7.82848472]","Convex"
"113","113","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52615822  2.37030327  4.36838515 -3.26195665  1.30692638  3.65320897]","[-2.46994846  7.79072531]","Convex"
"114","114","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53070334  2.38263671  4.4068753  -3.26058738  1.32262001  3.69174135]","[-2.48307177  7.84267589]","Convex"
"115","115","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52694122  2.36907879  4.37098534 -3.2592619   1.3021268   3.6559119 ]","[-2.46995536  7.79120238]","Convex"
"116","116","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52320115  2.35785518  4.38313656 -3.25664342  1.31152244  3.66774496]","[-2.47293248  7.80229803]","Convex"
"117","117","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51857415  2.33269472  4.38785162 -3.25842624  1.30735196  3.67270666]","[-2.47409278  7.80091211]","Convex"
"118","118","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52199711  2.35439503  4.35372349 -3.25530786  1.29174158  3.63898407]","[-2.46251273  7.76218667]","Convex"
"119","119","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51637689  2.32648278  4.35276399 -3.25393909  1.28801773  3.63830859]","[-2.46068702  7.75127844]","Convex"
"120","120","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53251602  2.39024613  4.38952438 -3.2548346   1.32358752  3.67477039]","[-2.47565346  7.82073372]","Convex"
"121","121","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52875405  2.37307448  4.38259603 -3.25225659  1.30566763  3.66782461]","[-2.47196753  7.80297854]","Convex"
"122","122","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53388811  2.40185891  4.40193227 -3.25237466  1.33097841  3.68742946]","[-2.4797714   7.83921577]","Convex"
"123","123","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.528634    2.37716443  4.39008776 -3.25493099  1.31074713  3.67524181]","[-2.47557424  7.81572082]","Convex"
"124","124","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52166732  2.35159699  4.35876232 -3.25045357  1.28672252  3.64465211]","[-2.46281443  7.76419153]","Convex"
"125","125","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51479207  2.32225071  4.3361571  -3.25572058  1.27607655  3.6214358 ]","[-2.45542685  7.72903164]","Convex"
"126","126","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52011902  2.34829832  4.35590401 -3.25604684  1.2837321   3.641363  ]","[-2.46341341  7.76245557]","Convex"
"127","127","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.51323068  2.3172076   4.33147834 -3.2629355   1.26269235  3.61622275]","[-2.45586238  7.72395939]","Convex"
"128","128","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64250398  2.73992972  4.75650158 -3.03796326  1.68499499  4.0416631 ]","[-2.54519267  8.29332039]","Convex"
"129","129","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6455669   2.79337184  4.8096078  -3.07733102  1.72252919  4.09486929]","[-2.57806829  8.40396417]","Convex"
"130","130","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63455323  2.66835839  4.7454328  -3.0473284   1.66119669  4.03158142]","[-2.54091423  8.26010694]","Convex"
"131","131","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63826716  2.71203269  4.85737895 -3.08560975  1.7028052   4.14328258]","[-2.59315563  8.43901831]","Convex"
